"Accession","Organism_Name","Organization","Org_location","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title","MMWRyear","MMWRweek","Collection_Season","Type","clade","G_clade","Collection_YearWeek","Collection_Date_dec"
"MZ151852.1","Human respiratory syncytial virus A","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",14963,"complete","Russia",2020-01-30,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/8.62Hp/2020, complete genome",2020,5,"2019/2020","A","A.D.3","GA2.3.5","2020/05",2020.07923497268
"MZ151853.1","Human respiratory syncytial virus A","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",14891,"complete","Russia",2020-01-30,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/8.62Hl/2020, complete genome",2020,5,"2019/2020","A","A.D.3","GA2.3.5","2020/05",2020.07923497268
"MZ151854.1","Human respiratory syncytial virus A","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",14959,"complete","Russia",2020-01-27,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/8.46Hl/2020, complete genome",2020,5,"2019/2020","A","A.D.1","GA2.3.5","2020/05",2020.07103825137
"MZ151855.1","Human respiratory syncytial virus A","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",14959,"complete","Russia",2020-01-24,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/7.63Hl/2020, complete genome",2020,4,"2019/2020","A","A.D.1","GA2.3.5","2020/04",2020.06284153005
"MZ515551.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8811-V01","ssRNA(-)",15276,"partial","United Kingdom",2018-12-06,"Human respiratory syncytial virus A isolate OX02-8811-V01, partial genome",2018,49,"2018/2019","A","A.D.5","GA2.3.5","2018/49",2018.92876712329
"MZ515555.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8017-V01","ssRNA(-)",15280,"complete","United Kingdom",2019-11-27,"Human respiratory syncytial virus A isolate OX02-8017-V01, complete genome",2019,48,"2019/2020","A","A.D.3","GA2.3.5","2019/48",2019.90410958904
"MZ515556.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8247-V01","ssRNA(-)",14802,"partial","United Kingdom",2018-12-05,"Human respiratory syncytial virus A isolate OX02-8247-V01, partial genome",2018,49,"2018/2019","A","A.D","GA2.3.5","2018/49",2018.92602739726
"MZ515559.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8032-V01","ssRNA(-)",15274,"complete","United Kingdom",2018-11-08,"Human respiratory syncytial virus A isolate OX02-8032-V01, complete genome",2018,45,"2018/2019","A","A.D.2.2","GA2.3.5","2018/45",2018.85205479452
"MZ515564.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0055-D02","ssRNA(-)",15254,"complete","Netherlands",2018-11-21,"Human respiratory syncytial virus A isolate UU02-0055-D02, complete genome",2018,47,"2018/2019","A","A.D","GA2.3.5","2018/47",2018.88767123288
"MZ515566.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8214-V02","ssRNA(-)",15277,"complete","United Kingdom",2019-11-08,"Human respiratory syncytial virus A isolate OX01A-8214-V02, complete genome",2019,45,"2019/2020","A","A.D.2.2","GA2.3.5","2019/45",2019.85205479452
"MZ515567.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9571-V01","ssRNA(-)",15277,"complete","United Kingdom",2019-12-15,"Human respiratory syncytial virus A isolate OX02-9571-V01, complete genome",2019,51,"2019/2020","A","A.D.5.1","GA2.3.5","2019/51",2019.95342465753
"MZ515568.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0154-V01","ssRNA(-)",15280,"complete","Netherlands",2019-12-23,"Human respiratory syncytial virus A isolate UU02-0154-V01, complete genome",2019,52,"2019/2020","A","A.D.1","GA2.3.5","2019/52",2019.97534246575
"MZ515569.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8889-V01","ssRNA(-)",15274,"complete","United Kingdom",2018-11-27,"Human respiratory syncytial virus A isolate OX02-8889-V01, complete genome",2018,48,"2018/2019","A","A.D.2.2.1","GA2.3.5","2018/48",2018.90410958904
"MZ515570.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0101-V01","ssRNA(-)",15274,"complete","Spain",2019-11-29,"Human respiratory syncytial virus A isolate SE02-0101-V01, complete genome",2019,48,"2019/2020","A","A.D.1","GA2.3.5","2019/48",2019.9095890411
"MZ515571.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9011-V01","ssRNA(-)",15276,"complete","United Kingdom",2020-01-03,"Human respiratory syncytial virus A isolate OX02-9011-V01, complete genome",2020,1,"2019/2020","A","A.D.1","GA2.3.5","2020/01",2020.00546448087
"MZ515572.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0092-D04","ssRNA(-)",15277,"complete","Netherlands",2018-12-24,"Human respiratory syncytial virus A isolate UU02-0092-D04, complete genome",2018,52,"2018/2019","A","A.D.2.2","GA2.3.5","2018/52",2018.97808219178
"MZ515573.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9657-V01","ssRNA(-)",15276,"complete","United Kingdom",2020-02-13,"Human respiratory syncytial virus A isolate OX02-9657-V01, complete genome",2020,7,"2019/2020","A","A.D.1","GA2.3.5","2020/07",2020.1174863388
"MZ515575.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0033-V01","ssRNA(-)",15274,"complete","United Kingdom",2018-11-30,"Human respiratory syncytial virus A isolate IM02-0033-V01, complete genome",2018,48,"2018/2019","A","A.D.2.2.1","GA2.3.5","2018/48",2018.91232876712
"MZ515576.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0018-D05","ssRNA(-)",15273,"complete","Spain",2019-12-16,"Human respiratory syncytial virus A isolate SE02-0018-D05, complete genome",2019,51,"2019/2020","A","A.D.1","GA2.3.5","2019/51",2019.95616438356
"MZ515577.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8720-V01","ssRNA(-)",15273,"partial","United Kingdom",2020-01-09,"Human respiratory syncytial virus A isolate OX02-8720-V01, partial genome",2020,2,"2019/2020","A","A.D.1","GA2.3.5","2020/02",2020.0218579235
"MZ515579.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0002-D02","ssRNA(-)",15272,"complete","Spain",2018-12-25,"Human respiratory syncytial virus A isolate SE02-0002-D02, complete genome",2018,52,"2018/2019","A","A.D.1","GA2.3.5","2018/52",2018.98082191781
"MZ515580.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0161-D04","ssRNA(-)",15273,"complete","Netherlands",2019-12-27,"Human respiratory syncytial virus A isolate UU02-0161-D04, complete genome",2019,52,"2019/2020","A","A.D.2.1","GA2.3.5","2019/52",2019.98630136986
"MZ515582.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8668-V02","ssRNA(-)",15276,"partial","United Kingdom",2019-10-10,"Human respiratory syncytial virus A isolate OX01A-8668-V02, partial genome",2019,41,"2019/2020","A","A.D.1","GA2.3.5","2019/41",2019.77260273973
"MZ515583.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0154-V02","ssRNA(-)",15276,"complete","Spain",2019-12-23,"Human respiratory syncytial virus A isolate SE01A-0154-V02, complete genome",2019,52,"2019/2020","A","A.D.1","GA2.3.5","2019/52",2019.97534246575
"MZ515585.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0002-D03","ssRNA(-)",15275,"complete","Spain",2018-12-26,"Human respiratory syncytial virus A isolate SE02-0002-D03, complete genome",2018,52,"2018/2019","A","A.D.1","GA2.3.5","2018/52",2018.98356164384
"MZ515588.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0003-D02","ssRNA(-)",15280,"complete","Spain",2019-01-04,"Human respiratory syncytial virus A isolate SE02-0003-D02, complete genome",2019,1,"2018/2019","A","A.D.2.2.1","GA2.3.5","2019/01",2019.00821917808
"MZ515592.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0155-V02","ssRNA(-)",15276,"complete","Netherlands",2019-11-28,"Human respiratory syncytial virus A isolate UU01A-0155-V02, complete genome",2019,48,"2019/2020","A","A.D.5","GA2.3.5","2019/48",2019.90684931507
"MZ515593.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8554-V01","ssRNA(-)",15277,"complete","United Kingdom",2018-12-01,"Human respiratory syncytial virus A isolate OX02-8554-V01, complete genome",2018,48,"2018/2019","A","A.D","GA2.3.5","2018/48",2018.91506849315
"MZ515597.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9283-V01","ssRNA(-)",15275,"complete","United Kingdom",2019-12-31,"Human respiratory syncytial virus A isolate OX02-9283-V01, complete genome",2020,1,"2019/2020","A","A.D.1","GA2.3.5","2020/01",2019.99726027397
"MZ515600.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8987-D02","ssRNA(-)",15276,"complete","United Kingdom",2018-12-05,"Human respiratory syncytial virus A isolate OX02-8987-D02, complete genome",2018,49,"2018/2019","A","A.D","GA2.3.5","2018/49",2018.92602739726
"MZ515602.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8513-V01","ssRNA(-)",15272,"partial","United Kingdom",2018-11-13,"Human respiratory syncytial virus A isolate OX02-8513-V01, partial genome",2018,46,"2018/2019","A","A.D.1","GA2.3.5","2018/46",2018.86575342466
"MZ515604.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9450-V01","ssRNA(-)",15276,"partial","United Kingdom",2019-12-30,"Human respiratory syncytial virus A isolate OX02-9450-V01, partial genome",2020,1,"2019/2020","A","A.D.1","GA2.3.5","2020/01",2019.99452054795
"MZ515606.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0153-D03","ssRNA(-)",15277,"complete","Netherlands",2019-11-27,"Human respiratory syncytial virus A isolate UU02-0153-D03, complete genome",2019,48,"2019/2020","A","A.D.1","GA2.3.5","2019/48",2019.90410958904
"MZ515609.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0006-V01","ssRNA(-)",15280,"complete","Spain",2019-01-10,"Human respiratory syncytial virus A isolate SE02-0006-V01, complete genome",2019,2,"2018/2019","A","A.D.2.2.1","GA2.3.5","2019/02",2019.02465753425
"MZ515614.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8998-V02","ssRNA(-)",15276,"complete","United Kingdom",2020-01-09,"Human respiratory syncytial virus A isolate OX01A-8998-V02, complete genome",2020,2,"2019/2020","A","A.D.1","GA2.3.5","2020/02",2020.0218579235
"MZ515616.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0160-V01","ssRNA(-)",15276,"complete","Netherlands",2019-12-24,"Human respiratory syncytial virus A isolate UU02-0160-V01, complete genome",2019,52,"2019/2020","A","A.D.5","GA2.3.5","2019/52",2019.97808219178
"MZ515617.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8566-V01","ssRNA(-)",15280,"complete","United Kingdom",2018-11-13,"Human respiratory syncytial virus A isolate OX02-8566-V01, complete genome",2018,46,"2018/2019","A","A.D.3","GA2.3.5","2018/46",2018.86575342466
"MZ515618.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8054-V01","ssRNA(-)",14736,"partial","United Kingdom",2018-11-22,"Human respiratory syncytial virus A isolate OX02-8054-V01, partial genome",2018,47,"2018/2019","A","A.D.1","GA2.3.5","2018/47",2018.8904109589
"MZ515619.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0160-V02","ssRNA(-)",15278,"complete","Spain",2019-12-30,"Human respiratory syncytial virus A isolate SE01A-0160-V02, complete genome",2020,1,"2019/2020","A","A.D.3","GA2.3.5","2020/01",2019.99452054795
"MZ515620.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0045-V01","ssRNA(-)",15274,"complete","Netherlands",2018-01-26,"Human respiratory syncytial virus A isolate UU02-0045-V01, complete genome",2018,4,"2017/2018","A","A.D","GA2.3.5","2018/04",2018.06849315068
"MZ515621.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8474-D04","ssRNA(-)",15282,"partial","United Kingdom",2018-12-07,"Human respiratory syncytial virus A isolate OX02-8474-D04, partial genome",2018,49,"2018/2019","A","A.D","GA2.3.5","2018/49",2018.93150684932
"MZ515623.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8711-D02","ssRNA(-)",15276,"complete","United Kingdom",2018-01-09,"Human respiratory syncytial virus A isolate OX02-8711-D02, complete genome",2018,2,"2017/2018","A","A.D.1","GA2.3.5","2018/02",2018.02191780822
"MZ515626.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8086-D04","ssRNA(-)",15278,"complete","United Kingdom",2019-11-23,"Human respiratory syncytial virus A isolate OX02-8086-D04, complete genome",2019,47,"2019/2020","A","A.D.3","GA2.3.5","2019/47",2019.89315068493
"MZ515628.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0165-V02","ssRNA(-)",15280,"complete","Netherlands",2019-12-03,"Human respiratory syncytial virus A isolate UU01A-0165-V02, complete genome",2019,49,"2019/2020","A","A.D.1","GA2.3.5","2019/49",2019.92054794521
"MZ515629.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0019-V01","ssRNA(-)",15277,"complete","Spain",2019-12-27,"Human respiratory syncytial virus A isolate SE02-0019-V01, complete genome",2019,52,"2019/2020","A","A.D","GA2.3.5","2019/52",2019.98630136986
"MZ515631.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0217-V01","ssRNA(-)",15276,"complete","Netherlands",2019-12-18,"Human respiratory syncytial virus A isolate UU02-0217-V01, complete genome",2019,51,"2019/2020","A","A.D.1","GA2.3.5","2019/51",2019.96164383562
"MZ515632.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0058-V01","ssRNA(-)",15274,"complete","Netherlands",2018-12-03,"Human respiratory syncytial virus A isolate UU02-0058-V01, complete genome",2018,49,"2018/2019","A","A.D.3","GA2.3.5","2018/49",2018.92054794521
"MZ515633.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0021-V01","ssRNA(-)",15283,"complete","Spain",2019-12-29,"Human respiratory syncytial virus A isolate SE02-0021-V01, complete genome",2020,1,"2019/2020","A","A.D.2.2.1","GA2.3.5","2020/01",2019.99178082192
"MZ515634.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0134-V02","ssRNA(-)",15279,"complete","Netherlands",2019-12-13,"Human respiratory syncytial virus A isolate UU01A-0134-V02, complete genome",2019,50,"2019/2020","A","A.D","GA2.3.5","2019/50",2019.94794520548
"MZ515640.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0141-V02","ssRNA(-)",15276,"complete","Spain",2019-12-31,"Human respiratory syncytial virus A isolate SE01A-0141-V02, complete genome",2020,1,"2019/2020","A","A.D.1","GA2.3.5","2020/01",2019.99726027397
"MZ515641.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0040-D03","ssRNA(-)",15273,"complete","Netherlands",2018-01-18,"Human respiratory syncytial virus A isolate UU02-0040-D03, complete genome",2018,3,"2017/2018","A","A.D","GA2.3.5","2018/03",2018.04657534247
"MZ515642.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0001-D05","ssRNA(-)",14622,"partial","Spain",2018-12-08,"Human respiratory syncytial virus A isolate SE02-0001-D05, partial genome",2018,49,"2018/2019","A","A.D.3","GA2.3.5","2018/49",2018.93424657534
"MZ515643.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0175-V02","ssRNA(-)",15276,"complete","Netherlands",2019-12-05,"Human respiratory syncytial virus A isolate UU01A-0175-V02, complete genome",2019,49,"2019/2020","A","A.D.1","GA2.3.5","2019/49",2019.92602739726
"MZ515645.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8438-V01","ssRNA(-)",15276,"complete","United Kingdom",2019-11-12,"Human respiratory syncytial virus A isolate OX02-8438-V01, complete genome",2019,46,"2019/2020","A","A.D.1","GA2.3.5","2019/46",2019.86301369863
"MZ515646.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9328-V01","ssRNA(-)",15275,"complete","United Kingdom",2019-11-23,"Human respiratory syncytial virus A isolate OX02-9328-V01, complete genome",2019,47,"2019/2020","A","A.D.1","GA2.3.5","2019/47",2019.89315068493
"MZ515647.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8382-V01","ssRNA(-)",15280,"complete","United Kingdom",2018-11-20,"Human respiratory syncytial virus A isolate OX02-8382-V01, complete genome",2018,47,"2018/2019","A","A.D.3","GA2.3.5","2018/47",2018.88493150685
"MZ515649.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0172-V02","ssRNA(-)",15281,"complete","Netherlands",2019-11-29,"Human respiratory syncytial virus A isolate UU01A-0172-V02, complete genome",2019,48,"2019/2020","A","A.D.1","GA2.3.5","2019/48",2019.9095890411
"MZ515650.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0207-V01","ssRNA(-)",15282,"complete","Netherlands",2019-12-11,"Human respiratory syncytial virus A isolate UU02-0207-V01, complete genome",2019,50,"2019/2020","A","A.D","GA2.3.5","2019/50",2019.94246575342
"MZ515651.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0076-V02","ssRNA(-)",15276,"complete","Netherlands",2019-11-22,"Human respiratory syncytial virus A isolate UU01A-0076-V02, complete genome",2019,47,"2019/2020","A","A.D.2.1","GA2.3.5","2019/47",2019.8904109589
"MZ515652.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8773-V01","ssRNA(-)",15272,"complete","United Kingdom",2018-12-06,"Human respiratory syncytial virus A isolate OX02-8773-V01, complete genome",2018,49,"2018/2019","A","A.D.1","GA2.3.5","2018/49",2018.92876712329
"MZ515654.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0003-D04","ssRNA(-)",14855,"partial","Netherlands",2017-11-17,"Human respiratory syncytial virus A isolate UU02-0003-D04, partial genome",2017,46,"2017/2018","A","A.D","GA2.3.5","2017/46",2017.87671232877
"MZ515655.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0155-V01","ssRNA(-)",15282,"complete","Netherlands",2019-12-11,"Human respiratory syncytial virus A isolate UU02-0155-V01, complete genome",2019,50,"2019/2020","A","A.D","GA2.3.5","2019/50",2019.94246575342
"MZ515659.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0045-D05","ssRNA(-)",15278,"partial","Netherlands",2018-01-30,"Human respiratory syncytial virus A isolate UU02-0045-D05, partial genome",2018,5,"2017/2018","A","A.D","GA2.3.5","2018/05",2018.07945205479
"MZ515662.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9767-D02","ssRNA(-)",15189,"partial","United Kingdom",2020-01-24,"Human respiratory syncytial virus A isolate OX02-9767-D02, partial genome",2020,4,"2019/2020","A","A.D.3","GA2.3.5","2020/04",2020.06284153005
"MZ515666.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9767-D09","ssRNA(-)",15279,"complete","United Kingdom",2020-01-31,"Human respiratory syncytial virus A isolate OX02-9767-D09, complete genome",2020,5,"2019/2020","A","A.D.3","GA2.3.5","2020/05",2020.08196721311
"MZ515668.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9801-D06","ssRNA(-)",15279,"complete","United Kingdom",2019-12-18,"Human respiratory syncytial virus A isolate OX02-9801-D06, complete genome",2019,51,"2019/2020","A","A.D.3","GA2.3.5","2019/51",2019.96164383562
"MZ515675.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0055-D03","ssRNA(-)",15286,"partial","Netherlands",2018-11-22,"Human respiratory syncytial virus A isolate UU02-0055-D03, partial genome",2018,47,"2018/2019","A","A.D","GA2.3.5","2018/47",2018.8904109589
"MZ515676.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0001-D04","ssRNA(-)",15276,"partial","Spain",2018-12-07,"Human respiratory syncytial virus A isolate SE02-0001-D04, partial genome",2018,49,"2018/2019","A","A.D.3","GA2.3.5","2018/49",2018.93150684932
"MZ515679.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8396-V02","ssRNA(-)",15279,"complete","United Kingdom",2020-01-08,"Human respiratory syncytial virus A isolate OX01A-8396-V02, complete genome",2020,2,"2019/2020","A","A.D.3","GA2.3.5","2020/02",2020.01912568306
