"","Accession","Organism_Name","Organization","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title","Collection_Year","Collection_Month","MMWRyear","MMWRweek","MMWRday","Collection_Season","Type","clade","G_clade"
"11","OR795359.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/17-03987/2017","ssRNA(-)",15262,"complete","Germany",2017-02-27,"Human respiratory syncytial virus A isolate hRSV/A/Germany/17-03987/2017, complete genome",2017,2,2017,9,2,"2016/2017","A","A.D.2.2","GA2.3.5"
"16","OR795360.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/18-00577/2018","ssRNA(-)",15189,"complete","Germany",2018-04-03,"Human respiratory syncytial virus A isolate hRSV/A/Germany/18-00577/2018, complete genome",2018,4,2018,14,3,"2017/2018","A","A.D.5","GA2.3.5"
"12","OR795361.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/18-00988/2017","ssRNA(-)",15255,"complete","Germany",2017-11-24,"Human respiratory syncytial virus A isolate hRSV/A/Germany/18-00988/2017, complete genome",2017,11,2017,47,6,"2017/2018","A","A.D.2.2.1","GA2.3.5"
"13","OR795362.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/18-02178/2018","ssRNA(-)",15253,"complete","Germany",2018-01-22,"Human respiratory syncytial virus A isolate hRSV/A/Germany/18-02178/2018, complete genome",2018,1,2018,4,2,"2017/2018","A","A.D","GA2.3.5"
"14","OR795363.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/18-03012/2018","ssRNA(-)",15237,"complete","Germany",2018-02-06,"Human respiratory syncytial virus A isolate hRSV/A/Germany/18-03012/2018, complete genome",2018,2,2018,6,3,"2017/2018","A","A.D","GA2.3.5"
"15","OR795364.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/18-03723/2018","ssRNA(-)",15263,"complete","Germany",2018-02-19,"Human respiratory syncytial virus A isolate hRSV/A/Germany/18-03723/2018, complete genome",2018,2,2018,8,2,"2017/2018","A","A.D.2","GA2.3.5"
"18","OR795365.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/18-05868/2018","ssRNA(-)",15256,"complete","Germany",2018-04-10,"Human respiratory syncytial virus A isolate hRSV/A/Germany/18-05868/2018, complete genome",2018,4,2018,15,3,"2017/2018","A","A.D.1","GA2.3.5"
"17","OR795366.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/18-05891/2018","ssRNA(-)",15244,"complete","Germany",2018-04-09,"Human respiratory syncytial virus A isolate hRSV/A/Germany/18-05891/2018, complete genome",2018,4,2018,15,2,"2017/2018","A","A.D","GA2.3.5"
"19","OR795367.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/18-06034/2018","ssRNA(-)",15263,"complete","Germany",2018-04-18,"Human respiratory syncytial virus A isolate hRSV/A/Germany/18-06034/2018, complete genome",2018,4,2018,16,4,"2017/2018","A","A.D.2.2","GA2.3.5"
"20","OR795368.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/19-00912/2018","ssRNA(-)",15120,"complete","Germany",2018-12-09,"Human respiratory syncytial virus A isolate hRSV/A/Germany/19-00912/2018, complete genome",2018,12,2018,50,1,"2018/2019","A","A.D.3","GA2.3.5"
"21","OR795369.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/19-01063/2018","ssRNA(-)",15262,"complete","Germany",2018-12-17,"Human respiratory syncytial virus A isolate hRSV/A/Germany/19-01063/2018, complete genome",2018,12,2018,51,2,"2018/2019","A","A.D","GA2.3.5"
"22","OR795370.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/19-01162/2018","ssRNA(-)",15253,"complete","Germany",2018-12-31,"Human respiratory syncytial virus A isolate hRSV/A/Germany/19-01162/2018, complete genome",2018,12,2019,1,2,"2018/2019","A","A.D.3","GA2.3.5"
"23","OR795371.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/19-01264/2019","ssRNA(-)",15077,"complete","Germany",2019-01-04,"Human respiratory syncytial virus A isolate hRSV/A/Germany/19-01264/2019, complete genome",2019,1,2019,1,6,"2018/2019","A","A.D.2.2","GA2.3.5"
"24","OR795372.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/19-01267/2019","ssRNA(-)",15257,"complete","Germany",2019-01-09,"Human respiratory syncytial virus A isolate hRSV/A/Germany/19-01267/2019, complete genome",2019,1,2019,2,4,"2018/2019","A","A.D.1","GA2.3.5"
"26","OR795373.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/19-01507/2019","ssRNA(-)",15036,"complete","Germany",2019-01-14,"Human respiratory syncytial virus A isolate hRSV/A/Germany/19-01507/2019, complete genome",2019,1,2019,3,2,"2018/2019","A","A.D.1","GA2.3.5"
"28","OR795374.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/19-01631/2019","ssRNA(-)",15246,"complete","Germany",2019-01-22,"Human respiratory syncytial virus A isolate hRSV/A/Germany/19-01631/2019, complete genome",2019,1,2019,4,3,"2018/2019","A","A.D","GA2.3.5"
"29","OR795375.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/19-02168/2019","ssRNA(-)",15260,"complete","Germany",2019-02-02,"Human respiratory syncytial virus A isolate hRSV/A/Germany/19-02168/2019, complete genome",2019,2,2019,5,7,"2018/2019","A","A.D.1","GA2.3.5"
"30","OR795376.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/19-02171/2019","ssRNA(-)",15256,"complete","Germany",2019-02-04,"Human respiratory syncytial virus A isolate hRSV/A/Germany/19-02171/2019, complete genome",2019,2,2019,6,2,"2018/2019","A","A.D.1","GA2.3.5"
"31","OR795377.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/19-02346/2019","ssRNA(-)",15262,"complete","Germany",2019-02-09,"Human respiratory syncytial virus A isolate hRSV/A/Germany/19-02346/2019, complete genome",2019,2,2019,6,7,"2018/2019","A","A.D.1","GA2.3.5"
"33","OR795378.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/19-02487/2019","ssRNA(-)",15249,"complete","Germany",2019-02-13,"Human respiratory syncytial virus A isolate hRSV/A/Germany/19-02487/2019, complete genome",2019,2,2019,7,4,"2018/2019","A","A.D.1","GA2.3.5"
"34","OR795379.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/19-02630/2019","ssRNA(-)",15232,"complete","Germany",2019-02-14,"Human respiratory syncytial virus A isolate hRSV/A/Germany/19-02630/2019, complete genome",2019,2,2019,7,5,"2018/2019","A","A.D.2.2","GA2.3.5"
"35","OR795380.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/19-02632/2019","ssRNA(-)",15250,"complete","Germany",2019-02-14,"Human respiratory syncytial virus A isolate hRSV/A/Germany/19-02632/2019, complete genome",2019,2,2019,7,5,"2018/2019","A","A.D.2.2","GA2.3.5"
"36","OR795381.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/19-02698/2019","ssRNA(-)",15259,"complete","Germany",2019-02-17,"Human respiratory syncytial virus A isolate hRSV/A/Germany/19-02698/2019, complete genome",2019,2,2019,8,1,"2018/2019","A","A.D.1","GA2.3.5"
"39","OR795382.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/19-02773/2019","ssRNA(-)",15252,"complete","Germany",2019-02-20,"Human respiratory syncytial virus A isolate hRSV/A/Germany/19-02773/2019, complete genome",2019,2,2019,8,4,"2018/2019","A","A.D","GA2.3.5"
"40","OR795383.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/19-02912/2019","ssRNA(-)",15247,"complete","Germany",2019-02-24,"Human respiratory syncytial virus A isolate hRSV/A/Germany/19-02912/2019, complete genome",2019,2,2019,9,1,"2018/2019","A","A.D.1","GA2.3.5"
"43","OR795384.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-00993/2019","ssRNA(-)",15252,"complete","Germany",2019-12-16,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-00993/2019, complete genome",2019,12,2019,51,2,"2019/2020","A","A.D","GA2.3.5"
"47","OR795385.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-01713/2020","ssRNA(-)",15249,"complete","Germany",2020-01-26,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-01713/2020, complete genome",2020,1,2020,5,1,"2019/2020","A","A.D.1","GA2.3.5"
"48","OR795386.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-01833/2020","ssRNA(-)",15069,"complete","Germany",2020-01-28,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-01833/2020, complete genome",2020,1,2020,5,3,"2019/2020","A","A.D","GA2.3.5"
"51","OR795387.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-01906/2020","ssRNA(-)",14965,"complete","Germany",2020-01-31,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-01906/2020, complete genome",2020,1,2020,5,6,"2019/2020","A","A.D.2.2","GA2.3.5"
"53","OR795388.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-01942/2020","ssRNA(-)",15235,"complete","Germany",2020-02-03,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-01942/2020, complete genome",2020,2,2020,6,2,"2019/2020","A","A.D.5","GA2.3.5"
"54","OR795389.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02002/2020","ssRNA(-)",15144,"complete","Germany",2020-02-03,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02002/2020, complete genome",2020,2,2020,6,2,"2019/2020","A","A.D.5","GA2.3.5"
"74","OR795390.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02231/2020","ssRNA(-)",15072,"complete","Germany",2020-02-24,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02231/2020, complete genome",2020,2,2020,9,2,"2019/2020","A","A.D.3","GA2.3.5"
"58","OR795391.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02311/2020","ssRNA(-)",15152,"complete","Germany",2020-02-10,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02311/2020, complete genome",2020,2,2020,7,2,"2019/2020","A","A.D","GA2.3.5"
"63","OR795392.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02443/2020","ssRNA(-)",15152,"complete","Germany",2020-02-17,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02443/2020, complete genome",2020,2,2020,8,2,"2019/2020","A","A.D","GA2.3.5"
"64","OR795393.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02446/2020","ssRNA(-)",15126,"complete","Germany",2020-02-17,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02446/2020, complete genome",2020,2,2020,8,2,"2019/2020","A","A.D","GA2.3.5"
"62","OR795394.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02470/2020","ssRNA(-)",15234,"complete","Germany",2020-02-16,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02470/2020, complete genome",2020,2,2020,8,1,"2019/2020","A","A.D.1","GA2.3.5"
"67","OR795395.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02591/2020","ssRNA(-)",15242,"complete","Germany",2020-02-21,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02591/2020, complete genome",2020,2,2020,8,6,"2019/2020","A","A.D.1","GA2.3.5"
"65","OR795396.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02604/2020","ssRNA(-)",15237,"complete","Germany",2020-02-20,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02604/2020, complete genome",2020,2,2020,8,5,"2019/2020","A","A.D.5","GA2.3.5"
"68","OR795397.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02637/2020","ssRNA(-)",15181,"complete","Germany",2020-02-21,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02637/2020, complete genome",2020,2,2020,8,6,"2019/2020","A","A.D.5","GA2.3.5"
"71","OR795398.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02660/2020","ssRNA(-)",15248,"complete","Germany",2020-02-22,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02660/2020, complete genome",2020,2,2020,8,7,"2019/2020","A","A.D.3","GA2.3.5"
"69","OR795399.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02684/2020","ssRNA(-)",15240,"complete","Germany",2020-02-21,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02684/2020, complete genome",2020,2,2020,8,6,"2019/2020","A","A.D","GA2.3.5"
"70","OR795400.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02689/2020","ssRNA(-)",15252,"complete","Germany",2020-02-21,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02689/2020, complete genome",2020,2,2020,8,6,"2019/2020","A","A.D","GA2.3.5"
"75","OR795401.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02702/2020","ssRNA(-)",15246,"complete","Germany",2020-02-24,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02702/2020, complete genome",2020,2,2020,9,2,"2019/2020","A","A.D","GA2.3.5"
"76","OR795402.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02704/2020","ssRNA(-)",15229,"complete","Germany",2020-02-24,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02704/2020, complete genome",2020,2,2020,9,2,"2019/2020","A","A.D.5","GA2.3.5"
"77","OR795403.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02746/2020","ssRNA(-)",15239,"complete","Germany",2020-02-25,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02746/2020, complete genome",2020,2,2020,9,3,"2019/2020","A","A.D.1","GA2.3.5"
"78","OR795404.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02765/2020","ssRNA(-)",15261,"complete","Germany",2020-02-25,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02765/2020, complete genome",2020,2,2020,9,3,"2019/2020","A","A.D.2.2","GA2.3.5"
"80","OR795405.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02910/2020","ssRNA(-)",15234,"complete","Germany",2020-03-02,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02910/2020, complete genome",2020,3,2020,10,2,"2019/2020","A","A.D.1","GA2.3.5"
"79","OR795406.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-02934/2020","ssRNA(-)",15241,"complete","Germany",2020-02-29,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-02934/2020, complete genome",2020,2,2020,9,7,"2019/2020","A","A.D.5","GA2.3.5"
"83","OR795407.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-03302/2020","ssRNA(-)",15205,"complete","Germany",2020-03-09,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-03302/2020, complete genome",2020,3,2020,11,2,"2019/2020","A","A.D.1","GA2.3.5"
"81","OR795408.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-03353/2020","ssRNA(-)",15138,"complete","Germany",2020-03-02,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-03353/2020, complete genome",2020,3,2020,10,2,"2019/2020","A","A.D.1","GA2.3.5"
"90","OR795409.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-03521/2020","ssRNA(-)",15251,"complete","Germany",2020-03-16,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-03521/2020, complete genome",2020,3,2020,12,2,"2019/2020","A","A.D.2.2","GA2.3.5"
"91","OR795410.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-03531/2020","ssRNA(-)",15073,"complete","Germany",2020-03-16,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-03531/2020, complete genome",2020,3,2020,12,2,"2019/2020","A","A.D.5","GA2.3.5"
"92","OR795411.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-03551/2020","ssRNA(-)",15246,"complete","Germany",2020-03-16,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-03551/2020, complete genome",2020,3,2020,12,2,"2019/2020","A","A.D","GA2.3.5"
"94","OR795412.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/20-03565/2020","ssRNA(-)",15089,"complete","Germany",2020-03-17,"Human respiratory syncytial virus A isolate hRSV/A/Germany/20-03565/2020, complete genome",2020,3,2020,12,3,"2019/2020","A","A.D.1","GA2.3.5"
"101","OR795413.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/21-06264/2021","ssRNA(-)",15236,"complete","Germany",2021-08-09,"Human respiratory syncytial virus A isolate hRSV/A/Germany/21-06264/2021, complete genome",2021,8,2021,32,2,"2020/2021","A","A.D.5","GA2.3.5"
"102","OR795414.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/21-06292/2021","ssRNA(-)",15254,"complete","Germany",2021-08-17,"Human respiratory syncytial virus A isolate hRSV/A/Germany/21-06292/2021, complete genome",2021,8,2021,33,3,"2020/2021","A","A.D.1","GA2.3.5"
"103","OR795415.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/21-06625/2021","ssRNA(-)",15247,"complete","Germany",2021-09-06,"Human respiratory syncytial virus A isolate hRSV/A/Germany/21-06625/2021, complete genome",2021,9,2021,36,2,"2020/2021","A","A.D.1","GA2.3.5"
"104","OR795416.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/21-06819/2021","ssRNA(-)",15260,"complete","Germany",2021-09-09,"Human respiratory syncytial virus A isolate hRSV/A/Germany/21-06819/2021, complete genome",2021,9,2021,36,5,"2020/2021","A","A.D.3","GA2.3.5"
"106","OR795417.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/21-07026/2021","ssRNA(-)",15250,"complete","Germany",2021-09-20,"Human respiratory syncytial virus A isolate hRSV/A/Germany/21-07026/2021, complete genome",2021,9,2021,38,2,"2020/2021","A","A.D.5.2","GA2.3.5"
"105","OR795418.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/21-07063/2021","ssRNA(-)",15272,"complete","Germany",2021-09-10,"Human respiratory syncytial virus A isolate hRSV/A/Germany/21-07063/2021, complete genome",2021,9,2021,36,6,"2020/2021","A","A.D.1","GA2.3.5"
"107","OR795419.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/21-07100/2021","ssRNA(-)",15255,"complete","Germany",2021-09-21,"Human respiratory syncytial virus A isolate hRSV/A/Germany/21-07100/2021, complete genome",2021,9,2021,38,3,"2020/2021","A","A.D.5.2","GA2.3.5"
"108","OR795420.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/21-07170/2021","ssRNA(-)",15260,"complete","Germany",2021-09-23,"Human respiratory syncytial virus A isolate hRSV/A/Germany/21-07170/2021, complete genome",2021,9,2021,38,5,"2020/2021","A","A.D.3","GA2.3.5"
"110","OR795421.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/21-07326/2021","ssRNA(-)",15229,"complete","Germany",2021-09-28,"Human respiratory syncytial virus A isolate hRSV/A/Germany/21-07326/2021, complete genome",2021,9,2021,39,3,"2020/2021","A","A.D.1","GA2.3.5"
"109","OR795422.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/21-07357/2021","ssRNA(-)",15158,"complete","Germany",2021-09-25,"Human respiratory syncytial virus A isolate hRSV/A/Germany/21-07357/2021, complete genome",2021,9,2021,38,7,"2020/2021","A","A.D.5","GA2.3.5"
"111","OR795423.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/22-00203/2021","ssRNA(-)",15237,"complete","Germany",2021-10-05,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00203/2021, complete genome",2021,10,2021,40,3,"2021/2022","A","A.D.5.2","GA2.3.5"
"112","OR795424.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/22-00271/2021","ssRNA(-)",15257,"complete","Germany",2021-10-07,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00271/2021, complete genome",2021,10,2021,40,5,"2021/2022","A","A.D.5.2","GA2.3.5"
"113","OR795425.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/22-00290/2021","ssRNA(-)",15245,"complete","Germany",2021-10-11,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00290/2021, complete genome",2021,10,2021,41,2,"2021/2022","A","A.D.5.2","GA2.3.5"
"115","OR795426.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/22-00345/2021","ssRNA(-)",15252,"complete","Germany",2021-10-12,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00345/2021, complete genome",2021,10,2021,41,3,"2021/2022","A","A.D.3","GA2.3.5"
"114","OR795427.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/22-00373/2021","ssRNA(-)",15209,"complete","Germany",2021-10-11,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00373/2021, complete genome",2021,10,2021,41,2,"2021/2022","A","A.D.5.2","GA2.3.5"
"116","OR795428.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/22-00458/2021","ssRNA(-)",15272,"complete","Germany",2021-10-13,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00458/2021, complete genome",2021,10,2021,41,4,"2021/2022","A","A.D.5","GA2.3.5"
"117","OR795429.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/22-00553/2021","ssRNA(-)",15271,"complete","Germany",2021-10-15,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00553/2021, complete genome",2021,10,2021,41,6,"2021/2022","A","A.D.5","GA2.3.5"
"120","OR795430.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/22-00668/2021","ssRNA(-)",15251,"complete","Germany",2021-10-20,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00668/2021, complete genome",2021,10,2021,42,4,"2021/2022","A","A.D.5.2","GA2.3.5"
"122","OR795431.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/22-00723/2021","ssRNA(-)",15272,"complete","Germany",2021-10-21,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00723/2021, complete genome",2021,10,2021,42,5,"2021/2022","A","A.D.5.2","GA2.3.5"
"118","OR795432.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/22-00724/2021","ssRNA(-)",15251,"complete","Germany",2021-10-19,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00724/2021, complete genome",2021,10,2021,42,3,"2021/2022","A","A.D.3","GA2.3.5"
"123","OR795433.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/22-00726/2021","ssRNA(-)",15215,"complete","Germany",2021-10-21,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00726/2021, complete genome",2021,10,2021,42,5,"2021/2022","A","A.D.5","GA2.3.5"
"125","OR795434.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/22-00730/2021","ssRNA(-)",15251,"complete","Germany",2021-10-24,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00730/2021, complete genome",2021,10,2021,43,1,"2021/2022","A","A.D.3.1","GA2.3.5"
"126","OR795435.1","Human respiratory syncytial virus A","Robert Koch Institut","hRSV/A/Germany/22-00757/2021","ssRNA(-)",15246,"complete","Germany",2021-10-25,"Human respiratory syncytial virus A isolate hRSV/A/Germany/22-00757/2021, complete genome",2021,10,2021,43,2,"2021/2022","A","A.D.5","GA2.3.5"
