"Accession","Organism_Name","Organization","Org_location","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title"
"PP376949.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340103019","ssRNA(-)",15179,"complete","Spain",2019-12-19,"Human respiratory syncytial virus B isolate 340103019, complete genome"
"PP376950.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358103034","ssRNA(-)",15223,"complete","Finland",2020-02-19,"Human respiratory syncytial virus B isolate 358103034, complete genome"
"PP376951.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101045","ssRNA(-)",15222,"complete","Finland",2018-03-19,"Human respiratory syncytial virus B isolate 358101045, complete genome"
"PP376955.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101048","ssRNA(-)",15222,"complete","Netherlands",2018-01-02,"Human respiratory syncytial virus B isolate 310101048, complete genome"
"PP376956.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102042","ssRNA(-)",15221,"complete","Netherlands",2019-01-02,"Human respiratory syncytial virus B isolate 310102042, complete genome"
"PP376957.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101021","ssRNA(-)",15222,"complete","Spain",2017-12-02,"Human respiratory syncytial virus B isolate 340101021, complete genome"
"PP376959.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101070","ssRNA(-)",15222,"complete","Netherlands",2018-02-02,"Human respiratory syncytial virus B isolate 310101070, complete genome"
"PP376960.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102015","ssRNA(-)",15222,"complete","Germany",2019-02-02,"Human respiratory syncytial virus B isolate 490102015, complete genome"
"PP376961.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358103015","ssRNA(-)",15221,"complete","Finland",2020-02-02,"Human respiratory syncytial virus B isolate 358103015, complete genome"
"PP376962.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101038","ssRNA(-)",15218,"complete","Finland",2018-03-02,"Human respiratory syncytial virus B isolate 358101038, complete genome"
"PP376973.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101008","ssRNA(-)",15097,"partial","Netherlands",2017-11-20,"Human respiratory syncytial virus B isolate 310101008, partial genome"
"PP376975.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102006","ssRNA(-)",15222,"complete","Spain",2018-12-20,"Human respiratory syncytial virus B isolate 340102006, complete genome"
"PP376976.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102038","ssRNA(-)",15222,"complete","Netherlands",2018-12-20,"Human respiratory syncytial virus B isolate 310102038, complete genome"
"PP376977.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101047","ssRNA(-)",15222,"complete","Spain",2018-02-20,"Human respiratory syncytial virus B isolate 340101047, complete genome"
"PP376984.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102026","ssRNA(-)",15222,"complete","Spain",2019-01-21,"Human respiratory syncytial virus B isolate 340102026, complete genome"
"PP376985.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102009","ssRNA(-)",15223,"complete","Germany",2019-01-21,"Human respiratory syncytial virus B isolate 490102009, complete genome"
"PP376986.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358103004","ssRNA(-)",15222,"complete","Finland",2020-01-21,"Human respiratory syncytial virus B isolate 358103004, complete genome"
"PP376987.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358103003","ssRNA(-)",15223,"complete","Finland",2020-01-21,"Human respiratory syncytial virus B isolate 358103003, complete genome"
"PP376988.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102040","ssRNA(-)",15223,"complete","Netherlands",2018-12-21,"Human respiratory syncytial virus B isolate 310102040, complete genome"
"PP376993.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310103053","ssRNA(-)",15222,"complete","Netherlands",2019-11-22,"Human respiratory syncytial virus B isolate 310103053, complete genome"
"PP376994.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101035","ssRNA(-)",15222,"complete","Netherlands",2017-12-22,"Human respiratory syncytial virus B isolate 310101035, complete genome"
"PP376995.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101035","ssRNA(-)",15222,"complete","Finland",2018-02-22,"Human respiratory syncytial virus B isolate 358101035, complete genome"
"PP376996.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102030","ssRNA(-)",15222,"complete","Germany",2019-02-22,"Human respiratory syncytial virus B isolate 490102030, complete genome"
"PP376997.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102028","ssRNA(-)",15222,"complete","Germany",2019-02-22,"Human respiratory syncytial virus B isolate 490102028, complete genome"
"PP376998.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102027","ssRNA(-)",15222,"complete","Germany",2019-02-22,"Human respiratory syncytial virus B isolate 490102027, complete genome"
"PP377000.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358102015","ssRNA(-)",15223,"complete","Finland",2019-03-22,"Human respiratory syncytial virus B isolate 358102015, complete genome"
"PP377005.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101019","ssRNA(-)",15223,"complete","Finland",2018-01-23,"Human respiratory syncytial virus B isolate 358101019, complete genome"
"PP377013.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101045","ssRNA(-)",15222,"complete","Spain",2018-01-24,"Human respiratory syncytial virus B isolate 340101045, complete genome"
"PP377014.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","440102036","ssRNA(-)",15224,"complete","United Kingdom",2019-01-24,"Human respiratory syncytial virus B isolate 440102036, complete genome"
"PP377015.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101008","ssRNA(-)",15222,"complete","Spain",2017-11-24,"Human respiratory syncytial virus B isolate 340101008, complete genome"
"PP377016.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101005","ssRNA(-)",15223,"complete","Finland",2017-12-24,"Human respiratory syncytial virus B isolate 358101005, complete genome"
"PP377017.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102007","ssRNA(-)",15223,"complete","Spain",2018-12-24,"Human respiratory syncytial virus B isolate 340102007, complete genome"
"PP377019.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","70103047","ssRNA(-)",15180,"complete","Russia",2020-03-24,"Human respiratory syncytial virus B isolate 070103047, complete genome"
"PP377024.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101065","ssRNA(-)",15223,"complete","Netherlands",2018-01-25,"Human respiratory syncytial virus B isolate 310101065, complete genome"
"PP377025.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101066","ssRNA(-)",15221,"complete","Netherlands",2018-01-25,"Human respiratory syncytial virus B isolate 310101066, complete genome"
"PP377026.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102019","ssRNA(-)",15222,"complete","Germany",2019-01-25,"Human respiratory syncytial virus B isolate 490102019, complete genome"
"PP377027.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101009","ssRNA(-)",15222,"complete","Spain",2017-11-25,"Human respiratory syncytial virus B isolate 340101009, complete genome"
"PP377028.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101006","ssRNA(-)",15221,"complete","Finland",2017-12-25,"Human respiratory syncytial virus B isolate 358101006, complete genome"
"PP377029.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102037","ssRNA(-)",15223,"complete","Germany",2019-03-25,"Human respiratory syncytial virus B isolate 490102037, complete genome"
"PP377037.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340103022","ssRNA(-)",15223,"complete","Spain",2019-12-26,"Human respiratory syncytial virus B isolate 340103022, complete genome"
"PP377040.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490103021","ssRNA(-)",15223,"complete","Germany",2020-02-26,"Human respiratory syncytial virus B isolate 490103021, complete genome"
"PP377041.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340103036","ssRNA(-)",15180,"complete","Spain",2020-02-26,"Human respiratory syncytial virus B isolate 340103036, complete genome"
"PP377044.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102048","ssRNA(-)",15223,"complete","Netherlands",2019-01-27,"Human respiratory syncytial virus B isolate 310102048, complete genome"
"PP377045.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101014","ssRNA(-)",15222,"complete","Spain",2017-11-27,"Human respiratory syncytial virus B isolate 340101014, complete genome"
"PP377049.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310103014","ssRNA(-)",15179,"complete","Netherlands",2019-12-27,"Human respiratory syncytial virus B isolate 310103014, complete genome"
"PP377050.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101037","ssRNA(-)",15223,"complete","Finland",2018-02-27,"Human respiratory syncytial virus B isolate 358101037, complete genome"
"PP377052.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102031","ssRNA(-)",15222,"complete","Germany",2019-02-27,"Human respiratory syncytial virus B isolate 490102031, complete genome"
"PP377054.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340103037","ssRNA(-)",15179,"complete","Spain",2020-02-27,"Human respiratory syncytial virus B isolate 340103037, complete genome"
"PP377061.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102031","ssRNA(-)",15223,"complete","Spain",2019-01-28,"Human respiratory syncytial virus B isolate 340102031, complete genome"
"PP377062.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","70103014","ssRNA(-)",15182,"complete","Russia",2020-01-28,"Human respiratory syncytial virus B isolate 070103014, complete genome"
"PP377064.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","440102022","ssRNA(-)",15224,"complete","United Kingdom",2018-11-28,"Human respiratory syncytial virus B isolate 440102022, complete genome"
"PP377065.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101008","ssRNA(-)",15222,"complete","Finland",2017-12-28,"Human respiratory syncytial virus B isolate 358101008, complete genome"
"PP377066.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101025","ssRNA(-)",15219,"complete","Finland",2018-01-29,"Human respiratory syncytial virus B isolate 358101025, complete genome"
"PP377067.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358103008","ssRNA(-)",15222,"complete","Finland",2020-01-29,"Human respiratory syncytial virus B isolate 358103008, complete genome"
"PP377068.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358103009","ssRNA(-)",15223,"complete","Finland",2020-01-29,"Human respiratory syncytial virus B isolate 358103009, complete genome"
"PP377075.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101012","ssRNA(-)",15223,"complete","Finland",2018-01-03,"Human respiratory syncytial virus B isolate 358101012, complete genome"
"PP377076.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102011","ssRNA(-)",15222,"complete","Netherlands",2018-12-03,"Human respiratory syncytial virus B isolate 310102011, complete genome"
"PP377077.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358103016","ssRNA(-)",15223,"complete","Finland",2020-02-03,"Human respiratory syncytial virus B isolate 358103016, complete genome"
"PP377081.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358102026","ssRNA(-)",15223,"complete","Finland",2019-05-03,"Human respiratory syncytial virus B isolate 358102026, complete genome"
"PP377086.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102013","ssRNA(-)",15223,"complete","Germany",2019-01-30,"Human respiratory syncytial virus B isolate 490102013, complete genome"
"PP377087.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358103012","ssRNA(-)",15223,"complete","Finland",2020-01-30,"Human respiratory syncytial virus B isolate 358103012, complete genome"
"PP377088.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358103011","ssRNA(-)",15180,"complete","Finland",2020-01-30,"Human respiratory syncytial virus B isolate 358103011, complete genome"
"PP377089.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101016","ssRNA(-)",15222,"complete","Spain",2017-11-30,"Human respiratory syncytial virus B isolate 340101016, complete genome"
"PP377090.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101015","ssRNA(-)",14964,"partial","Spain",2017-11-30,"Human respiratory syncytial virus B isolate 340101015, partial genome"
"PP377093.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102012","ssRNA(-)",15224,"complete","Spain",2018-12-30,"Human respiratory syncytial virus B isolate 340102012, complete genome"
"PP377100.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","330103008","ssRNA(-)",13707,"partial","France",2019-10-31,"Human respiratory syncytial virus B isolate 330103008, partial genome"
"PP377102.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102043","ssRNA(-)",15224,"complete","Netherlands",2019-01-04,"Human respiratory syncytial virus B isolate 310102043, complete genome"
"PP377103.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102014","ssRNA(-)",15222,"complete","Netherlands",2018-12-04,"Human respiratory syncytial virus B isolate 310102014, complete genome"
"PP377104.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","330103029","ssRNA(-)",15224,"complete","France",2019-12-04,"Human respiratory syncytial virus B isolate 330103029, complete genome"
"PP377108.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101040","ssRNA(-)",15222,"complete","Finland",2018-03-04,"Human respiratory syncytial virus B isolate 358101040, complete genome"
"PP377109.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","70103039","ssRNA(-)",15182,"complete","Russia",2020-03-04,"Human respiratory syncytial virus B isolate 070103039, complete genome"
"PP377114.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101052","ssRNA(-)",15227,"complete","Netherlands",2018-01-05,"Human respiratory syncytial virus B isolate 310101052, complete genome"
"PP377115.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102016","ssRNA(-)",15222,"complete","Germany",2019-02-05,"Human respiratory syncytial virus B isolate 490102016, complete genome"
"PP377117.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358102008","ssRNA(-)",15221,"complete","Finland",2019-03-05,"Human respiratory syncytial virus B isolate 358102008, complete genome"
