"","Accession","Organism_Name","Organization","Org_location","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title","Collection_Year","Collection_Month","MMWRyear","MMWRweek","MMWRday","Collection_Season","Type"
"1412","LR699739.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15274,"partial","Spain",2018-01-08,"Human respiratory syncytial virus B cRNA",2018,1,2018,2,2,"2017/2018","B"
"1413","LR699740.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15274,"partial","Spain",2018-01-16,"Human respiratory syncytial virus B cRNA",2018,1,2018,3,3,"2017/2018","B"
"1414","LR699741.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15271,"partial","Spain",2017-12-15,"Human respiratory syncytial virus B cRNA",2017,12,2017,50,6,"2017/2018","B"
"1415","LR699742.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15276,"partial","Spain",2017-12-01,"Human respiratory syncytial virus B cRNA",2017,12,2017,48,6,"2017/2018","B"
"1416","LR699743.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15276,"partial","Spain",2018-01-29,"Human respiratory syncytial virus B cRNA",2018,1,2018,5,2,"2017/2018","B"
"1417","LR699744.1","Human respiratory syncytial virus B","UNIVERSITY OF OXFORD, Centre for Clinical Vaccinology and Tropical Medicine , Churchill Hospital, Old Road, Headington, Oxford, OX3 7LE","United Kingdom","","ssRNA(-)",15276,"partial","Spain",2017-12-20,"Human respiratory syncytial virus B cRNA",2017,12,2017,51,4,"2017/2018","B"
"1424","MK481079.1","Human respiratory syncytial virus B","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Infectious Diseases Pathogenesis","Russia","","ssRNA(-)",15155,"complete","Russia",2018-03-19,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/50Hp/2018, complete genome",2018,3,2018,12,2,"2017/2018","B"
"1421","MK534510.1","Human respiratory syncytial virus B","Federal Research Center of Fundamental and Translational Medicine, Department of experimental modeling and infectious diseases pathogenesis","Russia","","ssRNA(-)",15155,"complete","Russia",2018-03-19,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/50Hl/2018, complete genome",2018,3,2018,12,2,"2017/2018","B"
"1422","MK534511.1","Human respiratory syncytial virus B","Federal Research Center of Fundamental and Translational Medicine, Department of experimental modeling and infectious diseases pathogenesis","Russia","","ssRNA(-)",15154,"complete","Russia",2018-03-22,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/66Hp/2018, complete genome",2018,3,2018,12,5,"2017/2018","B"
"1423","MK534512.1","Human respiratory syncytial virus B","Federal Research Center of Fundamental and Translational Medicine, Department of experimental modeling and infectious diseases pathogenesis","Russia","","ssRNA(-)",15154,"complete","Russia",2018-03-22,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/66Hl/2018, complete genome",2018,3,2018,12,5,"2017/2018","B"
"1418","MT373703.1","Human respiratory syncytial virus B","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",15155,"complete","Russia",2019-03-14,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/242/2019, complete genome",2019,3,2019,11,5,"2018/2019","B"
"1419","MT373704.1","Human respiratory syncytial virus B","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",15155,"complete","Russia",2019-04-03,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/293/2019, complete genome",2019,4,2019,14,4,"2018/2019","B"
"1420","MT373705.1","Human respiratory syncytial virus B","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",15155,"complete","Russia",2019-01-20,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/5019/2019, complete genome",2019,1,2019,4,1,"2018/2019","B"
"5","MT422269.1","Human respiratory syncytial virus A","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",14935,"complete","Russia",2019-11-28,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/108Hp/2019, complete genome",2019,11,2019,48,5,"2019/2020","A"
"6","MT422270.1","Human respiratory syncytial virus A","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",14963,"complete","Russia",2019-12-06,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/138Hp/2019, complete genome",2019,12,2019,49,6,"2019/2020","A"
"7","MT422271.1","Human respiratory syncytial virus A","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",14961,"complete","Russia",2019-12-12,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/893Hp/2019, complete genome",2019,12,2019,50,5,"2019/2020","A"
"8","MT422272.1","Human respiratory syncytial virus A","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",14961,"complete","Russia",2019-12-12,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/893Hl/2019, complete genome",2019,12,2019,50,5,"2019/2020","A"
"9","MT422273.1","Human respiratory syncytial virus A","Federal Research Center of Fundamental and Translational Medicine, Department of Experimental Modeling and Pathogenesis of Infectious Diseases","Russia","","ssRNA(-)",14961,"complete","Russia",2019-12-02,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/1125Hp/2019, complete genome",2019,12,2019,49,2,"2019/2020","A"
"10","MW582528.1","Human respiratory syncytial virus A","RIZ, University of Veterinary Medicine","Germany","594","ssRNA(-)",15277,"complete","Germany",2015-03-15,"Human respiratory syncytial virus A isolate 0594, complete genome",2015,3,2015,11,1,"2014/2015","A"
"1405","MZ151849.1","Human respiratory syncytial virus B","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",15154,"complete","Russia",2019-11-20,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/76Hp/2019, complete genome",2019,11,2019,47,4,"2019/2020","B"
"1406","MZ151850.1","Human respiratory syncytial virus B","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",15155,"complete","Russia",2019-11-27,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/103Hp/2019, complete genome",2019,11,2019,48,4,"2019/2020","B"
"1407","MZ151851.1","Human respiratory syncytial virus B","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",14983,"complete","Russia",2019-11-19,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/73Hp/2019, complete genome",2019,11,2019,47,3,"2019/2020","B"
"11","MZ151852.1","Human respiratory syncytial virus A","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",14963,"complete","Russia",2020-01-30,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/8.62Hp/2020, complete genome",2020,1,2020,5,5,"2019/2020","A"
"12","MZ151853.1","Human respiratory syncytial virus A","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",14891,"complete","Russia",2020-01-30,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/8.62Hl/2020, complete genome",2020,1,2020,5,5,"2019/2020","A"
"13","MZ151854.1","Human respiratory syncytial virus A","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",14959,"complete","Russia",2020-01-27,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/8.46Hl/2020, complete genome",2020,1,2020,5,2,"2019/2020","A"
"14","MZ151855.1","Human respiratory syncytial virus A","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",14959,"complete","Russia",2020-01-24,"Human respiratory syncytial virus A strain RSVA/Novosibirsk/7.63Hl/2020, complete genome",2020,1,2020,4,6,"2019/2020","A"
"1408","MZ151856.1","Human respiratory syncytial virus B","The Federal Research Center of Fundamental and Translational Medicine, Eurasian Institute of zoonotic infections","Russia","","ssRNA(-)",15156,"complete","Russia",2020-01-30,"Human respiratory syncytial virus B strain RSVB/Novosibirsk/8.59Hl/2020, complete genome",2020,1,2020,5,5,"2019/2020","B"
"15","MZ515551.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8811-V01","ssRNA(-)",15276,"partial","United Kingdom",2018-12-06,"Human respiratory syncytial virus A isolate OX02-8811-V01, partial genome",2018,12,2018,49,5,"2018/2019","A"
"1130","MZ515552.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0043-D06","ssRNA(-)",15293,"partial","Netherlands",2018-01-30,"Human respiratory syncytial virus B isolate UU02-0043-D06, partial genome",2018,1,2018,5,3,"2017/2018","B"
"1131","MZ515553.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8711-V02","ssRNA(-)",15275,"complete","United Kingdom",2019-10-31,"Human respiratory syncytial virus B isolate OX01A-8711-V02, complete genome",2019,10,2019,44,5,"2019/2020","B"
"1132","MZ515554.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0022-V01","ssRNA(-)",15230,"complete","Netherlands",2017-12-20,"Human respiratory syncytial virus B isolate UU02-0022-V01, complete genome",2017,12,2017,51,4,"2017/2018","B"
"16","MZ515555.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8017-V01","ssRNA(-)",15280,"complete","United Kingdom",2019-11-27,"Human respiratory syncytial virus A isolate OX02-8017-V01, complete genome",2019,11,2019,48,4,"2019/2020","A"
"17","MZ515556.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8247-V01","ssRNA(-)",14802,"partial","United Kingdom",2018-12-05,"Human respiratory syncytial virus A isolate OX02-8247-V01, partial genome",2018,12,2018,49,4,"2018/2019","A"
"1133","MZ515557.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8739-V01","ssRNA(-)",15272,"complete","United Kingdom",2018-11-27,"Human respiratory syncytial virus B isolate OX02-8739-V01, complete genome",2018,11,2018,48,3,"2018/2019","B"
"1134","MZ515558.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0034-V02","ssRNA(-)",15273,"complete","Netherlands",2018-11-20,"Human respiratory syncytial virus B isolate UU01A-0034-V02, complete genome",2018,11,2018,47,3,"2018/2019","B"
"18","MZ515559.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8032-V01","ssRNA(-)",15274,"complete","United Kingdom",2018-11-08,"Human respiratory syncytial virus A isolate OX02-8032-V01, complete genome",2018,11,2018,45,5,"2018/2019","A"
"1135","MZ515560.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0076-V01","ssRNA(-)",15274,"complete","Netherlands",2019-01-02,"Human respiratory syncytial virus B isolate UU02-0076-V01, complete genome",2019,1,2019,1,4,"2018/2019","B"
"1136","MZ515561.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX03-0310-V02","ssRNA(-)",15275,"complete","United Kingdom",2019-02-04,"Human respiratory syncytial virus B isolate OX03-0310-V02, complete genome",2019,2,2019,6,2,"2018/2019","B"
"1137","MZ515562.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0035-D02","ssRNA(-)",15276,"complete","Netherlands",2018-01-10,"Human respiratory syncytial virus B isolate UU02-0035-D02, complete genome",2018,1,2018,2,4,"2017/2018","B"
"1138","MZ515563.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0088-V01","ssRNA(-)",15228,"partial","Netherlands",2018-12-14,"Human respiratory syncytial virus B isolate UU02-0088-V01, partial genome",2018,12,2018,50,6,"2018/2019","B"
"19","MZ515564.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0055-D02","ssRNA(-)",15254,"complete","Netherlands",2018-11-21,"Human respiratory syncytial virus A isolate UU02-0055-D02, complete genome",2018,11,2018,47,4,"2018/2019","A"
"1139","MZ515565.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0043-V01","ssRNA(-)",15275,"complete","Netherlands",2018-01-25,"Human respiratory syncytial virus B isolate UU02-0043-V01, complete genome",2018,1,2018,4,5,"2017/2018","B"
"20","MZ515566.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8214-V02","ssRNA(-)",15277,"complete","United Kingdom",2019-11-08,"Human respiratory syncytial virus A isolate OX01A-8214-V02, complete genome",2019,11,2019,45,6,"2019/2020","A"
"21","MZ515567.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9571-V01","ssRNA(-)",15277,"complete","United Kingdom",2019-12-15,"Human respiratory syncytial virus A isolate OX02-9571-V01, complete genome",2019,12,2019,51,1,"2019/2020","A"
"22","MZ515568.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0154-V01","ssRNA(-)",15280,"complete","Netherlands",2019-12-23,"Human respiratory syncytial virus A isolate UU02-0154-V01, complete genome",2019,12,2019,52,2,"2019/2020","A"
"23","MZ515569.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8889-V01","ssRNA(-)",15274,"complete","United Kingdom",2018-11-27,"Human respiratory syncytial virus A isolate OX02-8889-V01, complete genome",2018,11,2018,48,3,"2018/2019","A"
"24","MZ515570.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0101-V01","ssRNA(-)",15274,"complete","Spain",2019-11-29,"Human respiratory syncytial virus A isolate SE02-0101-V01, complete genome",2019,11,2019,48,6,"2019/2020","A"
"25","MZ515571.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9011-V01","ssRNA(-)",15276,"complete","United Kingdom",2020-01-03,"Human respiratory syncytial virus A isolate OX02-9011-V01, complete genome",2020,1,2020,1,6,"2019/2020","A"
"26","MZ515572.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0092-D04","ssRNA(-)",15277,"complete","Netherlands",2018-12-24,"Human respiratory syncytial virus A isolate UU02-0092-D04, complete genome",2018,12,2018,52,2,"2018/2019","A"
"27","MZ515573.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9657-V01","ssRNA(-)",15276,"complete","United Kingdom",2020-02-13,"Human respiratory syncytial virus A isolate OX02-9657-V01, complete genome",2020,2,2020,7,5,"2019/2020","A"
"1140","MZ515574.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0071-V01","ssRNA(-)",15269,"complete","Netherlands",2018-12-19,"Human respiratory syncytial virus B isolate UU02-0071-V01, complete genome",2018,12,2018,51,4,"2018/2019","B"
"28","MZ515575.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0033-V01","ssRNA(-)",15274,"complete","United Kingdom",2018-11-30,"Human respiratory syncytial virus A isolate IM02-0033-V01, complete genome",2018,11,2018,48,6,"2018/2019","A"
"29","MZ515576.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0018-D05","ssRNA(-)",15273,"complete","Spain",2019-12-16,"Human respiratory syncytial virus A isolate SE02-0018-D05, complete genome",2019,12,2019,51,2,"2019/2020","A"
"30","MZ515577.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8720-V01","ssRNA(-)",15273,"partial","United Kingdom",2020-01-09,"Human respiratory syncytial virus A isolate OX02-8720-V01, partial genome",2020,1,2020,2,5,"2019/2020","A"
"1141","MZ515578.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0007-V01","ssRNA(-)",15272,"complete","Netherlands",2017-11-24,"Human respiratory syncytial virus B isolate UU02-0007-V01, complete genome",2017,11,2017,47,6,"2017/2018","B"
"31","MZ515579.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0002-D02","ssRNA(-)",15272,"complete","Spain",2018-12-25,"Human respiratory syncytial virus A isolate SE02-0002-D02, complete genome",2018,12,2018,52,3,"2018/2019","A"
"32","MZ515580.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0161-D04","ssRNA(-)",15273,"complete","Netherlands",2019-12-27,"Human respiratory syncytial virus A isolate UU02-0161-D04, complete genome",2019,12,2019,52,6,"2019/2020","A"
"1142","MZ515581.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0150-V01","ssRNA(-)",15272,"complete","Netherlands",2019-11-08,"Human respiratory syncytial virus B isolate UU02-0150-V01, complete genome",2019,11,2019,45,6,"2019/2020","B"
"33","MZ515582.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8668-V02","ssRNA(-)",15276,"partial","United Kingdom",2019-10-10,"Human respiratory syncytial virus A isolate OX01A-8668-V02, partial genome",2019,10,2019,41,5,"2019/2020","A"
"34","MZ515583.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0154-V02","ssRNA(-)",15276,"complete","Spain",2019-12-23,"Human respiratory syncytial virus A isolate SE01A-0154-V02, complete genome",2019,12,2019,52,2,"2019/2020","A"
"1143","MZ515584.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8327-V01","ssRNA(-)",15276,"complete","United Kingdom",2018-11-21,"Human respiratory syncytial virus B isolate OX02-8327-V01, complete genome",2018,11,2018,47,4,"2018/2019","B"
"35","MZ515585.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0002-D03","ssRNA(-)",15275,"complete","Spain",2018-12-26,"Human respiratory syncytial virus A isolate SE02-0002-D03, complete genome",2018,12,2018,52,4,"2018/2019","A"
"1144","MZ515586.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0056-V01","ssRNA(-)",15258,"complete","Netherlands",2018-11-22,"Human respiratory syncytial virus B isolate UU02-0056-V01, complete genome",2018,11,2018,47,5,"2018/2019","B"
"1145","MZ515587.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0029-D06","ssRNA(-)",15275,"complete","Netherlands",2018-01-08,"Human respiratory syncytial virus B isolate UU02-0029-D06, complete genome",2018,1,2018,2,2,"2017/2018","B"
"36","MZ515588.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0003-D02","ssRNA(-)",15280,"complete","Spain",2019-01-04,"Human respiratory syncytial virus A isolate SE02-0003-D02, complete genome",2019,1,2019,1,6,"2018/2019","A"
"1146","MZ515589.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8832-D06","ssRNA(-)",15277,"partial","United Kingdom",2018-11-03,"Human respiratory syncytial virus B isolate OX02-8832-D06, partial genome",2018,11,2018,44,7,"2018/2019","B"
"1147","MZ515590.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8523-V01","ssRNA(-)",15275,"complete","United Kingdom",2019-12-05,"Human respiratory syncytial virus B isolate OX02-8523-V01, complete genome",2019,12,2019,49,5,"2019/2020","B"
"1148","MZ515591.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8972-V02","ssRNA(-)",15277,"complete","United Kingdom",2018-11-27,"Human respiratory syncytial virus B isolate OX01A-8972-V02, complete genome",2018,11,2018,48,3,"2018/2019","B"
"37","MZ515592.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0155-V02","ssRNA(-)",15276,"complete","Netherlands",2019-11-28,"Human respiratory syncytial virus A isolate UU01A-0155-V02, complete genome",2019,11,2019,48,5,"2019/2020","A"
"38","MZ515593.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8554-V01","ssRNA(-)",15277,"complete","United Kingdom",2018-12-01,"Human respiratory syncytial virus A isolate OX02-8554-V01, complete genome",2018,12,2018,48,7,"2018/2019","A"
"1149","MZ515594.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0004-D05","ssRNA(-)",15232,"complete","United Kingdom",2018-11-27,"Human respiratory syncytial virus B isolate IM02-0004-D05, complete genome",2018,11,2018,48,3,"2018/2019","B"
"1150","MZ515595.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0160-V02","ssRNA(-)",15274,"complete","Netherlands",2019-12-17,"Human respiratory syncytial virus B isolate UU01A-0160-V02, complete genome",2019,12,2019,51,3,"2019/2020","B"
"1151","MZ515596.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8301-D02","ssRNA(-)",15275,"complete","United Kingdom",2018-11-15,"Human respiratory syncytial virus B isolate OX02-8301-D02, complete genome",2018,11,2018,46,5,"2018/2019","B"
"39","MZ515597.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9283-V01","ssRNA(-)",15275,"complete","United Kingdom",2019-12-31,"Human respiratory syncytial virus A isolate OX02-9283-V01, complete genome",2019,12,2020,1,3,"2019/2020","A"
"1152","MZ515598.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0051-V01","ssRNA(-)",15270,"complete","Netherlands",2018-03-27,"Human respiratory syncytial virus B isolate UU02-0051-V01, complete genome",2018,3,2018,13,3,"2017/2018","B"
"1153","MZ515599.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0142-V02","ssRNA(-)",15274,"complete","Netherlands",2019-12-12,"Human respiratory syncytial virus B isolate UU01A-0142-V02, complete genome",2019,12,2019,50,5,"2019/2020","B"
