"Accession","Organism_Name","Organization","Org_location","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title","MMWRyear","MMWRweek","Collection_Season","Type","clade","G_clade"
"MZ515630.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0002-D03","ssRNA(-)",15270,"partial","United Kingdom",2018-11-23,"Human respiratory syncytial virus B isolate IM02-0002-D03, partial genome",2018,47,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515635.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8961-V01","ssRNA(-)",15275,"complete","United Kingdom",2019-11-09,"Human respiratory syncytial virus B isolate OX02-8961-V01, complete genome",2019,45,"2019/2020","B","B.D.4.1.1","GB5.0.5a"
"MZ515636.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8272-V02","ssRNA(-)",15274,"complete","United Kingdom",2019-12-12,"Human respiratory syncytial virus B isolate OX01A-8272-V02, complete genome",2019,50,"2019/2020","B","B.D.4.1.1","GB5.0.5a"
"MZ515637.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8758-D02","ssRNA(-)",15276,"complete","United Kingdom",2018-12-18,"Human respiratory syncytial virus B isolate OX02-8758-D02, complete genome",2018,51,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515638.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0024-V01","ssRNA(-)",15276,"complete","Spain",2020-01-08,"Human respiratory syncytial virus B isolate SE02-0024-V01, complete genome",2020,2,"2019/2020","B","B.D.4.1.1","GB5.0.5a"
"MZ515639.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0066-V02","ssRNA(-)",15271,"complete","Netherlands",2018-12-04,"Human respiratory syncytial virus B isolate UU01A-0066-V02, complete genome",2018,49,"2018/2019","B","B.D.E.2","GB5.0.5a"
"MZ515644.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0043-D05","ssRNA(-)",15273,"partial","Netherlands",2018-01-29,"Human respiratory syncytial virus B isolate UU02-0043-D05, partial genome",2018,5,"2017/2018","B","B.D.4.1","GB5.0.5a"
"MZ515648.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU03-0084-V02","ssRNA(-)",15259,"complete","Netherlands",2018-04-17,"Human respiratory syncytial virus B isolate UU03-0084-V02, complete genome",2018,16,"2017/2018","B","B.D.4.1","GB5.0.5a"
"MZ515653.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0004-V01","ssRNA(-)",15276,"complete","United Kingdom",2018-11-23,"Human respiratory syncytial virus B isolate IM02-0004-V01, complete genome",2018,47,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515656.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0168-V02","ssRNA(-)",15275,"complete","Spain",2019-12-18,"Human respiratory syncytial virus B isolate SE01A-0168-V02, complete genome",2019,51,"2019/2020","B","B.D.4.1.1","GB5.0.5a"
"MZ515657.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0051-V01","ssRNA(-)",15142,"partial","Spain",2019-01-17,"Human respiratory syncytial virus B isolate SE02-0051-V01, partial genome",2019,3,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515658.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0026-V02","ssRNA(-)",15276,"complete","Netherlands",2018-11-15,"Human respiratory syncytial virus B isolate UU01A-0026-V02, complete genome",2018,46,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515660.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0080-V02","ssRNA(-)",15273,"complete","Netherlands",2018-12-19,"Human respiratory syncytial virus B isolate UU01A-0080-V02, complete genome",2018,51,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515661.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0005-D03","ssRNA(-)",15243,"partial","Spain",2019-01-06,"Human respiratory syncytial virus B isolate SE02-0005-D03, partial genome",2019,2,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515663.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0036-V01","ssRNA(-)",15271,"complete","Netherlands",2018-01-11,"Human respiratory syncytial virus B isolate UU02-0036-V01, complete genome",2018,2,"2017/2018","B","B.D.4.1.1","GB5.0.5a"
"MZ515664.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0166-D05","ssRNA(-)",15275,"complete","Netherlands",2020-01-13,"Human respiratory syncytial virus B isolate UU02-0166-D05, complete genome",2020,3,"2019/2020","B","B.D.4.1.1","GB5.0.5a"
"MZ515665.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0028-V01","ssRNA(-)",15274,"complete","Netherlands",2017-12-31,"Human respiratory syncytial virus B isolate UU02-0028-V01, complete genome",2018,1,"2017/2018","B","B.D.4.1.1","GB5.0.5a"
"MZ515667.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8832-D02","ssRNA(-)",15276,"complete","United Kingdom",2018-10-30,"Human respiratory syncytial virus B isolate OX02-8832-D02, complete genome",2018,44,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515669.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0032-V01","ssRNA(-)",15275,"complete","United Kingdom",2018-11-26,"Human respiratory syncytial virus B isolate IM02-0032-V01, complete genome",2018,48,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
"MZ515670.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0028-D10","ssRNA(-)",15236,"complete","Netherlands",2018-01-09,"Human respiratory syncytial virus B isolate UU02-0028-D10, complete genome",2018,2,"2017/2018","B","B.D.4.1.1","GB5.0.5a"
"MZ515671.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8567-V01","ssRNA(-)",15275,"complete","United Kingdom",2018-10-24,"Human respiratory syncytial virus B isolate OX02-8567-V01, complete genome",2018,43,"2018/2019","B","B.D.4.1.1","GB5.0.5a"
