"Accession","Organism_Name","Organization","Org_location","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title","MMWRyear","MMWRweek","Collection_Season","Type","clade","G_clade"
"MZ515592.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0155-V02","ssRNA(-)",15276,"complete","Netherlands",2019-11-28,"Human respiratory syncytial virus A isolate UU01A-0155-V02, complete genome",2019,48,"2019/2020","A","A.D.5","GA2.3.5"
"MZ515593.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8554-V01","ssRNA(-)",15277,"complete","United Kingdom",2018-12-01,"Human respiratory syncytial virus A isolate OX02-8554-V01, complete genome",2018,48,"2018/2019","A","A.D","GA2.3.5"
"MZ515597.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9283-V01","ssRNA(-)",15275,"complete","United Kingdom",2019-12-31,"Human respiratory syncytial virus A isolate OX02-9283-V01, complete genome",2020,1,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515600.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8987-D02","ssRNA(-)",15276,"complete","United Kingdom",2018-12-05,"Human respiratory syncytial virus A isolate OX02-8987-D02, complete genome",2018,49,"2018/2019","A","A.D","GA2.3.5"
"MZ515602.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8513-V01","ssRNA(-)",15272,"partial","United Kingdom",2018-11-13,"Human respiratory syncytial virus A isolate OX02-8513-V01, partial genome",2018,46,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515604.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9450-V01","ssRNA(-)",15276,"partial","United Kingdom",2019-12-30,"Human respiratory syncytial virus A isolate OX02-9450-V01, partial genome",2020,1,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515606.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0153-D03","ssRNA(-)",15277,"complete","Netherlands",2019-11-27,"Human respiratory syncytial virus A isolate UU02-0153-D03, complete genome",2019,48,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515609.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0006-V01","ssRNA(-)",15280,"complete","Spain",2019-01-10,"Human respiratory syncytial virus A isolate SE02-0006-V01, complete genome",2019,2,"2018/2019","A","A.D.2.2.1","GA2.3.5"
"MZ515614.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8998-V02","ssRNA(-)",15276,"complete","United Kingdom",2020-01-09,"Human respiratory syncytial virus A isolate OX01A-8998-V02, complete genome",2020,2,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515616.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0160-V01","ssRNA(-)",15276,"complete","Netherlands",2019-12-24,"Human respiratory syncytial virus A isolate UU02-0160-V01, complete genome",2019,52,"2019/2020","A","A.D.5","GA2.3.5"
"MZ515617.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8566-V01","ssRNA(-)",15280,"complete","United Kingdom",2018-11-13,"Human respiratory syncytial virus A isolate OX02-8566-V01, complete genome",2018,46,"2018/2019","A","A.D.3","GA2.3.5"
"MZ515618.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8054-V01","ssRNA(-)",14736,"partial","United Kingdom",2018-11-22,"Human respiratory syncytial virus A isolate OX02-8054-V01, partial genome",2018,47,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515619.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0160-V02","ssRNA(-)",15278,"complete","Spain",2019-12-30,"Human respiratory syncytial virus A isolate SE01A-0160-V02, complete genome",2020,1,"2019/2020","A","A.D.3","GA2.3.5"
"MZ515620.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0045-V01","ssRNA(-)",15274,"complete","Netherlands",2018-01-26,"Human respiratory syncytial virus A isolate UU02-0045-V01, complete genome",2018,4,"2017/2018","A","A.D","GA2.3.5"
"MZ515621.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8474-D04","ssRNA(-)",15282,"partial","United Kingdom",2018-12-07,"Human respiratory syncytial virus A isolate OX02-8474-D04, partial genome",2018,49,"2018/2019","A","A.D","GA2.3.5"
"MZ515623.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8711-D02","ssRNA(-)",15276,"complete","United Kingdom",2018-01-09,"Human respiratory syncytial virus A isolate OX02-8711-D02, complete genome",2018,2,"2017/2018","A","A.D.1","GA2.3.5"
"MZ515626.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8086-D04","ssRNA(-)",15278,"complete","United Kingdom",2019-11-23,"Human respiratory syncytial virus A isolate OX02-8086-D04, complete genome",2019,47,"2019/2020","A","A.D.3","GA2.3.5"
"MZ515628.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0165-V02","ssRNA(-)",15280,"complete","Netherlands",2019-12-03,"Human respiratory syncytial virus A isolate UU01A-0165-V02, complete genome",2019,49,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515629.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0019-V01","ssRNA(-)",15277,"complete","Spain",2019-12-27,"Human respiratory syncytial virus A isolate SE02-0019-V01, complete genome",2019,52,"2019/2020","A","A.D","GA2.3.5"
"MZ515631.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0217-V01","ssRNA(-)",15276,"complete","Netherlands",2019-12-18,"Human respiratory syncytial virus A isolate UU02-0217-V01, complete genome",2019,51,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515632.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0058-V01","ssRNA(-)",15274,"complete","Netherlands",2018-12-03,"Human respiratory syncytial virus A isolate UU02-0058-V01, complete genome",2018,49,"2018/2019","A","A.D.3","GA2.3.5"
"MZ515633.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0021-V01","ssRNA(-)",15283,"complete","Spain",2019-12-29,"Human respiratory syncytial virus A isolate SE02-0021-V01, complete genome",2020,1,"2019/2020","A","A.D.2.2.1","GA2.3.5"
"MZ515634.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0134-V02","ssRNA(-)",15279,"complete","Netherlands",2019-12-13,"Human respiratory syncytial virus A isolate UU01A-0134-V02, complete genome",2019,50,"2019/2020","A","A.D","GA2.3.5"
"MZ515640.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0141-V02","ssRNA(-)",15276,"complete","Spain",2019-12-31,"Human respiratory syncytial virus A isolate SE01A-0141-V02, complete genome",2020,1,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515641.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0040-D03","ssRNA(-)",15273,"complete","Netherlands",2018-01-18,"Human respiratory syncytial virus A isolate UU02-0040-D03, complete genome",2018,3,"2017/2018","A","A.D","GA2.3.5"
"MZ515642.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0001-D05","ssRNA(-)",14622,"partial","Spain",2018-12-08,"Human respiratory syncytial virus A isolate SE02-0001-D05, partial genome",2018,49,"2018/2019","A","A.D.3","GA2.3.5"
"MZ515643.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0175-V02","ssRNA(-)",15276,"complete","Netherlands",2019-12-05,"Human respiratory syncytial virus A isolate UU01A-0175-V02, complete genome",2019,49,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515645.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8438-V01","ssRNA(-)",15276,"complete","United Kingdom",2019-11-12,"Human respiratory syncytial virus A isolate OX02-8438-V01, complete genome",2019,46,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515646.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9328-V01","ssRNA(-)",15275,"complete","United Kingdom",2019-11-23,"Human respiratory syncytial virus A isolate OX02-9328-V01, complete genome",2019,47,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515647.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8382-V01","ssRNA(-)",15280,"complete","United Kingdom",2018-11-20,"Human respiratory syncytial virus A isolate OX02-8382-V01, complete genome",2018,47,"2018/2019","A","A.D.3","GA2.3.5"
"MZ515649.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0172-V02","ssRNA(-)",15281,"complete","Netherlands",2019-11-29,"Human respiratory syncytial virus A isolate UU01A-0172-V02, complete genome",2019,48,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515650.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0207-V01","ssRNA(-)",15282,"complete","Netherlands",2019-12-11,"Human respiratory syncytial virus A isolate UU02-0207-V01, complete genome",2019,50,"2019/2020","A","A.D","GA2.3.5"
"MZ515651.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0076-V02","ssRNA(-)",15276,"complete","Netherlands",2019-11-22,"Human respiratory syncytial virus A isolate UU01A-0076-V02, complete genome",2019,47,"2019/2020","A","A.D.2.1","GA2.3.5"
"MZ515652.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8773-V01","ssRNA(-)",15272,"complete","United Kingdom",2018-12-06,"Human respiratory syncytial virus A isolate OX02-8773-V01, complete genome",2018,49,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515654.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0003-D04","ssRNA(-)",14855,"partial","Netherlands",2017-11-17,"Human respiratory syncytial virus A isolate UU02-0003-D04, partial genome",2017,46,"2017/2018","A","A.D","GA2.3.5"
"MZ515655.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0155-V01","ssRNA(-)",15282,"complete","Netherlands",2019-12-11,"Human respiratory syncytial virus A isolate UU02-0155-V01, complete genome",2019,50,"2019/2020","A","A.D","GA2.3.5"
"MZ515659.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0045-D05","ssRNA(-)",15278,"partial","Netherlands",2018-01-30,"Human respiratory syncytial virus A isolate UU02-0045-D05, partial genome",2018,5,"2017/2018","A","A.D","GA2.3.5"
"MZ515662.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9767-D02","ssRNA(-)",15189,"partial","United Kingdom",2020-01-24,"Human respiratory syncytial virus A isolate OX02-9767-D02, partial genome",2020,4,"2019/2020","A","A.D.3","GA2.3.5"
"MZ515666.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9767-D09","ssRNA(-)",15279,"complete","United Kingdom",2020-01-31,"Human respiratory syncytial virus A isolate OX02-9767-D09, complete genome",2020,5,"2019/2020","A","A.D.3","GA2.3.5"
"MZ515668.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9801-D06","ssRNA(-)",15279,"complete","United Kingdom",2019-12-18,"Human respiratory syncytial virus A isolate OX02-9801-D06, complete genome",2019,51,"2019/2020","A","A.D.3","GA2.3.5"
"MZ515675.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0055-D03","ssRNA(-)",15286,"partial","Netherlands",2018-11-22,"Human respiratory syncytial virus A isolate UU02-0055-D03, partial genome",2018,47,"2018/2019","A","A.D","GA2.3.5"
"MZ515676.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0001-D04","ssRNA(-)",15276,"partial","Spain",2018-12-07,"Human respiratory syncytial virus A isolate SE02-0001-D04, partial genome",2018,49,"2018/2019","A","A.D.3","GA2.3.5"
"MZ515679.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8396-V02","ssRNA(-)",15279,"complete","United Kingdom",2020-01-08,"Human respiratory syncytial virus A isolate OX01A-8396-V02, complete genome",2020,2,"2019/2020","A","A.D.3","GA2.3.5"
"MZ515680.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0109-V02","ssRNA(-)",15276,"complete","Netherlands",2019-11-06,"Human respiratory syncytial virus A isolate UU01A-0109-V02, complete genome",2019,45,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515681.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9267-V01","ssRNA(-)",15281,"complete","United Kingdom",2020-01-11,"Human respiratory syncytial virus A isolate OX02-9267-V01, complete genome",2020,2,"2019/2020","A","A.D","GA2.3.5"
"MZ515682.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8031-V01","ssRNA(-)",15275,"complete","United Kingdom",2019-11-28,"Human respiratory syncytial virus A isolate OX02-8031-V01, complete genome",2019,48,"2019/2020","A","A.D.4.1","GA2.3.5"
"MZ515685.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8433-D02","ssRNA(-)",15275,"complete","United Kingdom",2018-11-14,"Human respiratory syncytial virus A isolate OX02-8433-D02, complete genome",2018,46,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515686.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0047-V02","ssRNA(-)",15269,"partial","Spain",2019-01-08,"Human respiratory syncytial virus A isolate SE01A-0047-V02, partial genome",2019,2,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515687.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9216-D02","ssRNA(-)",15276,"complete","United Kingdom",2019-12-04,"Human respiratory syncytial virus A isolate OX02-9216-D02, complete genome",2019,49,"2019/2020","A","A.D.1","GA2.3.5"
